0.608000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.426800	0.724444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.394600	0.494667	0.566667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.377200	0.432889	0.335556	0.642667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.360800	0.418222	0.295111	0.441778	0.640444	0.000000	0.000000	0.000000	0.000000	0.000000
0.372400	0.218667	0.248444	0.351556	0.452000	0.564444	0.000000	0.000000	0.000000	0.000000
0.381600	0.102667	0.224000	0.326667	0.366222	0.394222	0.455556	0.000000	0.000000	0.000000
0.385200	0.100444	0.228000	0.315556	0.350667	0.353778	0.318667	0.397778	0.000000	0.000000
0.388200	0.081333	0.228444	0.288889	0.316000	0.298222	0.265778	0.325333	0.481778	0.000000
0.387000	0.087111	0.218667	0.288000	0.312889	0.274222	0.216000	0.248444	0.416000	0.402667
