0.153037	0.256593	0.326296	0.394889	0.457630	0.511481	0.560444	0.611481	0.660148	0.713481	0.753111	0.787630	0.826370	0.849778	0.867926	0.887481	0.891111	0.904593	0.909926	0.919778
0.562798	0.735144	0.800329	0.851523	0.889877	0.912099	0.923128	0.928066	0.944198	0.953416	0.949136	0.959012	0.960165	0.962798	0.966091	0.971029	0.968230	0.970370	0.966420	0.974321
0.504856	0.653498	0.745185	0.806255	0.856790	0.885761	0.914733	0.922798	0.925432	0.936626	0.933333	0.954403	0.950947	0.949959	0.955885	0.961152	0.960494	0.964444	0.964609	0.962634
0.539259	0.673909	0.751605	0.813498	0.862387	0.884774	0.912593	0.926420	0.933992	0.942222	0.947984	0.947819	0.954403	0.949959	0.960329	0.962963	0.954074	0.966091	0.964115	0.968230
0.541399	0.700905	0.758519	0.823704	0.871605	0.897284	0.923128	0.931523	0.943704	0.945679	0.948642	0.953580	0.955062	0.958354	0.966584	0.961975	0.962634	0.958848	0.964444	0.971193
0.138930	0.161975	0.171358	0.208724	0.229959	0.259588	0.291687	0.309794	0.321811	0.340247	0.344527	0.364444	0.371358	0.373663	0.385185	0.394568	0.396543	0.403292	0.411358	0.415144
0.113086	0.143374	0.185514	0.231605	0.247572	0.262387	0.265679	0.278683	0.289712	0.300412	0.314074	0.315885	0.322305	0.329053	0.332840	0.335802	0.341728	0.352593	0.348642	0.352922
0.108313	0.165597	0.200658	0.237202	0.250535	0.276872	0.286091	0.301728	0.306667	0.313416	0.321481	0.328724	0.330206	0.337449	0.332840	0.341399	0.352757	0.350453	0.354733	0.354897
0.089383	0.218272	0.291852	0.316214	0.328724	0.346173	0.371029	0.381070	0.390123	0.396049	0.403457	0.413827	0.415638	0.415144	0.427819	0.424362	0.428971	0.427984	0.428313	0.433416
0.136296	0.202798	0.274897	0.317202	0.345021	0.361317	0.373498	0.375473	0.377284	0.384033	0.390288	0.393745	0.395062	0.390453	0.400988	0.403621	0.402963	0.404115	0.410206	0.413663
